Model,Organization,Publication date,Domain,Confidence,Link,Reference,Authors,Organization categorization,Country (of organization),Notability criteria
TaLK Convolution,Carleton University,2020-02-08,Language,likely,https://arxiv.org/abs/2002.03184,Time-aware Large Kernel Convolutions,"Vasileios Lioutas, Yuhong Guo",Academia,Canada,SOTA improvement
Perceiver IO (optical flow),DeepMind,2020-02-08,"Multimodal,Language,Vision",confident,https://arxiv.org/abs/2107.14795,Perceiver IO: A General Architecture for Structured Inputs & Outputs,"Andrew Jaegle, Sebastian Borgeaud, Jean-Baptiste Alayrac, Carl Doersch, Catalin Ionescu, David Ding, Skanda Koppula, Daniel Zoran, Andrew Brock, Evan Shelhamer, Olivier Hénaff,
Matthew M. Botvinick, Andrew Zisserman, Oriol Vinyals, João Carreira",Industry,United Kingdom of Great Britain and Northern Ireland,SOTA improvement
Theseus 6/768,"University of California San Diego,Beihang University,Microsoft",2020-02-07,Language,confident,https://arxiv.org/abs/2002.02925,BERT-of-Theseus: Compressing BERT by Progressive Module Replacing,"Canwen Xu, Wangchunshu Zhou, Tao Ge, Furu Wei, Ming Zhou","Academia,Academia,Industry","United States of America,China,United States of America",SOTA improvement
Meena,Google Brain,2020-01-28,Language,confident,https://arxiv.org/abs/2001.09977,Towards a Human-like Open-Domain Chatbot,"Dongling Xiao, Han Zhang, Yukun Li, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",Industry,United States of America,SOTA improvement
ContextNet + Noisy Student,Google,2020-01-19,Speech,confident,https://arxiv.org/abs/2005.09629v2,Improved Noisy Student Training for Automatic Speech Recognition,"Daniel S. Park, Yu Zhang, Ye Jia, Wei Han, Chung-Cheng Chiu, Bo Li, Yonghui Wu, Quoc V. Le",Industry,United States of America,SOTA improvement
AlphaFold,DeepMind,2020-01-15,Biology,speculative,https://www.nature.com/articles/s41586-019-1923-7,Improved protein structure prediction using potentials from deep learning,"Andrew W. Senior, Richard Evans, John Jumper, James Kirkpatrick, Laurent Sifre, Tim Green, Chongli Qin, Augustin Žídek, Alexander W. R. Nelson, Alex Bridgland, Hugo Penedones, Stig Petersen, Karen Simonyan, Steve Crossan, Pushmeet Kohli, David T. Jones, David Silver, Koray Kavukcuoglu, Demis Hassabis",Industry,United Kingdom of Great Britain and Northern Ireland,"SOTA improvement,Highly cited"
Big Transfer (BiT-L),Google Brain,2019-12-24,Vision,confident,https://arxiv.org/abs/1912.11370,Big Transfer (BiT): General Visual Representation Learning,"Alexander Kolesnikov, Lucas Beyer, Xiaohua Zhai, Joan Puigcerver, Jessica Yung, Sylvain Gelly, Neil Houlsby",Industry,United States of America,SOTA improvement
DD-PPO,"Georgia Institute of Technology,Facebook AI Research,Oregon State University,Simon Fraser University",2019-12-19,Robotics,likely,https://openreview.net/forum?id=H1gX8C4YPr,DD-PPO: Learning Near-Perfect PointGoal Navigators from 2.5 Billion Frames,"Erik Wijmans, Abhishek Kadian, Ari Morcos, Stefan Lee, Irfan Essa, Devi Parikh, Manolis Savva, Dhruv Batra","Academia,Industry,Academia,Academia","United States of America,United States of America,United States of America,Canada",SOTA improvement
OpenAI Five Rerun,OpenAI,2019-12-13,Games,confident,https://cdn.openai.com/dota-2.pdf,Dota 2 with Large Scale Deep Reinforcement Learning,"Christopher Berner, Greg Brockman, Brooke Chan, Vicki Cheung,
Przemysław “Psyho"" Dębiak, Christy Dennison, David Farhi, Quirin Fischer, Shariq Hashme, Chris Hesse, Rafal Józefowicz, Scott Gray, Catherine Olsson, Jakub Pachocki, Michael Petrov, Henrique Pondé de Oliveira Pinto, Jonathan Raiman, Tim Salimans, Jeremy Schlatter, Jonas Schneider, Szymon Sidor, Ilya Sutskever, Jie Tang, Filip Wolski, Susan Zhang",Industry,United States of America,"Highly cited,SOTA improvement"
OpenAI Five,OpenAI,2019-12-13,Games,confident,https://arxiv.org/abs/1912.06680,Dota 2 with Large Scale Deep Reinforcement Learning,"Christopher Berner, Greg Brockman, Brooke Chan, Vicki Cheung, Przemysław Dębiak, Christy Dennison, David Farhi, Quirin Fischer, Shariq Hashme, Chris Hesse, Rafal Józefowicz, Scott Gray, Catherine Olsson, Jakub Pachocki, Michael Petrov, Henrique P. d.O. Pinto, Jonathan Raiman, Tim Salimans, Jeremy Schlatter, Jonas Schneider, Szymon Sidor, Ilya Sutskever, Jie Tang, Filip Wolski, Susan Zhang",Industry,United States of America,"Highly cited,SOTA improvement"
MMLSTM,"Beijing University of Posts and Telecommunications,University of West London",2019-12-05,Language,likely,http://repository.uwl.ac.uk/id/eprint/6490/1/Loo_etal_IEEE_TNNLS_2019_Major-minor_long_short-term_memory_for_word-level_language_model.pdf,Major–Minor Long Short-Term Memory for Word-Level Language Model,"Kai Shuang, Rui Li, Mengyu Gu, Jonathan Loo, Sen Su","Academia,Academia","China,United Kingdom of Great Britain and Northern Ireland",SOTA improvement
StarGAN v2,"NAVER,Yonsei University,Swiss Federal Institute of Technology",2019-12-04,"Vision,Image generation",confident,https://arxiv.org/abs/1912.01865,StarGAN v2: Diverse Image Synthesis for Multiple Domains,"Yunjey Choi, Youngjung Uh, Jaejun Yoo, Jung-Woo Ha","Industry,Academia,Academia","Korea (Republic of),Korea (Republic of),Switzerland","Highly cited,SOTA improvement"
Transformer-XL DeFINE (141M),"University of Washington,Allen Institute for AI",2019-11-27,Language,speculative,https://arxiv.org/abs/1911.12385,DeFINE: DEep Factorized INput Token Embeddings for Neural Sequence Modeling,"Sachin Mehta, Rik Koncel-Kedziorski, Mohammad Rastegari, Hannaneh Hajishirzi","Academia,Research collective","United States of America,United States of America",SOTA improvement
Photo-Geometric Autoencoder,University of Oxford,2019-11-25,"3D modeling,Vision",confident,https://arxiv.org/abs/1911.11130,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,"Shangzhe Wu, Christian Rupprecht, Andrea Vedaldi
",Academia,United Kingdom of Great Britain and Northern Ireland,SOTA improvement
Transformer - LibriVox + Decoding/Rescoring,Facebook,2019-11-19,Speech,confident,https://arxiv.org/abs/1911.08460v3,End-to-end ASR: from Supervised to Semi-Supervised Learning with Modern Architectures,"Gabriel Synnaeve, Qiantong Xu, Jacob Kahn, Tatiana Likhomanenko, Edouard Grave, Vineel Pratap, Anuroop Sriram, Vitaliy Liptchinsky, Ronan Collobert",Industry,United States of America,SOTA improvement
MuZero,DeepMind,2019-11-19,Games,confident,https://arxiv.org/abs/1911.08265v2,Mastering Atari Go Chess and Shogi by Planning with a Learned Model,"J Schrittwieser, I Antonoglou, T Hubert, K Simonyan",Industry,United Kingdom of Great Britain and Northern Ireland,"Highly cited,SOTA improvement"
MoCo,Facebook AI,2019-11-13,"Vision,Image generation",confident,https://arxiv.org/abs/1911.05722,Momentum Contrast for Unsupervised Visual Representation Learning,"Kaiming He, Haoqi Fan, Yuxin Wu, Saining Xe, Ross Girshick",Industry,United States of America,Highly cited
Noisy Student (L2),"Carnegie Mellon University (CMU),Google",2019-11-11,Vision,confident,https://arxiv.org/abs/1911.04252v4,Self-training with Noisy Student improves ImageNet classification,"Q Xie, MT Luong, E Hovy, QV Lee","Academia,Industry","United States of America,United States of America","Highly cited,SOTA improvement"
Sandwich Transformer,"Allen Institute for AI,Facebook AI Research",2019-11-10,Language,speculative,https://arxiv.org/abs/1911.03864,Improving Transformer Models by Reordering their Sublayers,"Ofir Press, Noah A. Smith, Omer Levy","Research collective,Industry","United States of America,United States of America",SOTA improvement
CamemBERT,"Facebook,INRIA,Sorbonne University",2019-11-10,Language,confident,https://arxiv.org/abs/1911.03894,CamemBERT: a Tasty French Language Model,"Louis Martin, Benjamin Muller, Pedro Javier Ortiz Suárez, Yoann Dupont, Laurent Romary, Éric Villemonte de la Clergerie, Djamé Seddah, Benoît Sagot","Industry,Academia,Academia","United States of America,France,France",SOTA improvement
XLM-RoBERTa,Facebook AI,2019-11-05,Language,confident,https://arxiv.org/abs/1911.02116,Unsupervised Cross-lingual Representation Learning at Scale,"Alexis Conneau, Kartikay Khandelwal, Naman Goyal, Vishrav Chaudhary, Guillaume Wenzek, Francisco Guzmán, Edouard Grave, Myle Ott, Luke Zettlemoyer, Veselin Stoyanov
",Industry,United States of America,"Highly cited,SOTA improvement"
Base LM + kNN LM + Continuous Cache,"Stanford University,Facebook AI Research",2019-11-01,Language,likely,https://arxiv.org/abs/1911.00172,Generalization through Memorization: Nearest Neighbor Language Models,"Urvashi Khandelwal, Omer Levy, Dan Jurafsky, Luke Zettlemoyer, Mike Lewis","Academia,Industry","United States of America,United States of America",SOTA improvement
AlphaStar,DeepMind,2019-10-30,Games,confident,https://www.deepmind.com/blog/alphastar-grandmaster-level-in-starcraft-ii-using-multi-agent-reinforcement-learning,Grandmaster level in StarCraft II using multi-agent reinforcement learning,"Oriol Vinyals,Igor Babuschkin,Wojciech M. Czarnecki,Michaël Mathieu,Andrew Dudzik,Junyoung Chung,David H. Choi,Richard Powell,Timo Ewalds,Petko Georgiev,Junhyuk Oh,Dan Horgan,Manuel Kroiss,Ivo Danihelka,Aja Huang,Laurent Sifre,Trevor Cai,John P. Agapiou,Max Jaderberg,Alexander S. Vezhnevets,Rémi Leblond,Tobias Pohlen,Valentin Dalibard,David Budden,Yury Sulsky,James Molloy,Tom L. Paine,Caglar Gulcehre,Ziyu Wang,Tobias Pfaff,Yuhuai Wu,Roman Ring,Dani Yogatama,Dario Wünsch,Katrina McKinney,Oliver Smith,Tom Schaul,Timothy Lillicrap,Koray Kavukcuoglu,Demis Hassabis,Chris Apps,David Silver",Industry,United Kingdom of Great Britain and Northern Ireland,Highly cited
BART-large,Facebook AI,2019-10-29,Language,confident,https://arxiv.org/abs/1910.13461,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension","Mike Lewis, Yinhan Liu, Naman Goyal, Marjan Ghazvininejad, Abdelrahman Mohamed, Omer Levy, Ves Stoyanov, Luke Zettlemoyer",Industry,United States of America,Highly cited
T5-11B,Google,2019-10-23,Language,confident,https://arxiv.org/abs/1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",Industry,United States of America,Highly cited
T5-3B,Google,2019-10-23,Language,confident,https://arxiv.org/abs/1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",Industry,United States of America,Highly cited
M4-50B,Google,2019-10-11,Language,confident,https://blog.research.google/2019/10/exploring-massively-multilingual.html,"Exploring Massively Multilingual, Massive Neural Machine Translation","Ankur Bapna, Orhan Firat",Industry,United States of America,SOTA improvement
DistilBERT,Hugging Face,2019-10-02,Language,confident,https://arxiv.org/abs/1910.01108,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter","Victor Sanh, Lysandre Debut, Julien Chaumond, Thomas Wolf",Industry,"Multinational,United States of America",Highly cited
AlphaX-1,"Facebook AI Research,Brown University",2019-10-02,Vision,confident,https://arxiv.org/abs/1903.11059,AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search,"Linnan Wang, Yiyang Zhao, Yuu Jinnai, Yuandong Tian, Rodrigo Fonseca1","Industry,Academia","United States of America,United States of America",SOTA improvement
ALBERT,"Toyota Technological Institute at Chicago,Google Research",2019-09-26,Language,confident,https://arxiv.org/abs/1909.11942,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,"Z Lan, M Chen, S Goodman, K Gimpel","Academia,Industry","United States of America,Multinational,United States of America,Canada,Switzerland",Highly cited
Adaptive Inputs + LayerDrop,"Facebook AI Research,LORIA",2019-09-25,Language,confident,https://arxiv.org/abs/1909.11556,Reducing Transformer Depth on Demand with Structured Dropout,"Angela Fan, Edouard Grave, Armand Joulin","Industry,Academia","United States of America,France",SOTA improvement
Megatron-LM (8.3B),NVIDIA,2019-09-17,Language,likely,https://arxiv.org/abs/1909.08053,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,"Mohammad Shoeybi, Mostofa Patwary, Raul Puri, Patrick LeGresley, Jared Casper, Bryan Catanzaro",Industry,United States of America,"Highly cited,SOTA improvement"
Megatron-BERT,NVIDIA,2019-09-17,Language,confident,https://arxiv.org/abs/1909.08053,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,"Mohammad Shoeybi, Mostofa Patwary, Raul Puri, Patrick LeGresley, Jared Casper, Bryan Catanzaro",Industry,United States of America,"Highly cited,SOTA improvement"
ResNet-152 + ObjectNet,Massachusetts Institute of Technology (MIT),2019-09-06,Vision,confident,https://papers.nips.cc/paper/2019/file/97af07a14cacba681feacf3012730892-Paper.pdf,Objectnet: A large-scale bias-controlled dataset for pushing the limits of object recognition models,"Andrei Barbu, David Mayo, Julian Alverio, William Luo, Christopher Wang, Dan Gutfre- und, Josh Tenenbaum, and Boris Katz",Academia,United States of America,Highly cited
UDSMProt,Fraunhofer Heinrich Hertz Institute,2019-09-04,Biology,likely,https://www.biorxiv.org/content/10.1101/704874v2.full.pdf,UDSMProt: Universal Deep Sequence Models for Protein Classification,"Nils Strodthoff, Patrick Wagner, Markus Wenzel, and Wojciech Samek",Research collective,Germany,SOTA improvement
"Mogrifier (d2, MoS2, MC) + dynamic eval","DeepMind,University of Oxford",2019-09-04,Language,confident,https://arxiv.org/abs/1909.01792,Mogrifier LSTM,"Gábor Melis, Tomáš Kočiský, Phil Blunsom","Industry,Academia","United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",SOTA improvement
EN^2AS with performance reward,"Beijing Institute of Technology,University of Technology Sydney,Monash University",2019-07-22,Language,confident,https://arxiv.org/abs/1907.09109,Efficient Novelty-Driven Neural Architecture Search,"Miao Zhang, Huiqi Li, Shirui Pan, Taoping Liu, Steven Su","Academia,Academia,Academia","China,Australia,Australia",SOTA improvement
Pluribus,Facebook AI Research,2019-07-11,Games,confident,https://www.science.org/cms/asset/910714a7-ee2a-486e-9970-42fb893b08d9/pap.pdf,Superhuman AI for multiplayer poker,"Noam Brown, Tuomas Sandholm",Industry,United States of America,SOTA improvement
BigBiGAN,Google,2019-07-04,"Vision,Image generation",confident,https://arxiv.org/abs/1907.02544,Large Scale Adversarial Representation Learning,"Jeff Donahue, Karen Simonyan",Industry,United States of America,SOTA improvement
RoBERTa Large,"Facebook,University of Washington",2019-07-01,Language,confident,https://arxiv.org/abs/1907.11692,RoBERTa: A Robustly Optimized BERT Pretraining Approach,"Yinhan Liu, Myle Ott, Naman Goyal, Jingfei Du, Mandar Joshi, Danqi Chen, Omer Levy, Mike Lewis, Luke Zettlemoyer, Veselin Stoyanov","Industry,Academia","United States of America,United States of America",Highly cited
Tensorized Transformer (257M),"Tianjin University,Microsoft Research Asia,Beijing Institute of Technology",2019-06-24,Language,confident,https://arxiv.org/abs/1906.09777,A Tensorized Transformer for Language Modeling,"Xindian Ma, Peng Zhang, Shuai Zhang, Nan Duan, Yuexian Hou, Ming Zhou, Dawei Song","Academia,Industry,Academia","China,China,China",SOTA improvement
Walking Minotaur robot,"University of California (UC) Berkeley,Google Brain",2019-06-19,Robotics,confident,https://arxiv.org/abs/1812.11103,Learning to Walk via Deep Reinforcement Learning,"Tuomas Haarnoja, Sehoon Ha, Aurick Zhou, Jie Tan, George Tucker, Sergey Levine","Academia,Industry","United States of America,United States of America",SOTA improvement
LaNet-L (CIFAR-10),"Brown University,Facebook",2019-06-17,Vision,confident,https://arxiv.org/abs/1906.06832,Sample-Efficient Neural Architecture Search by Learning Action Space,"Linnan Wang, Saining Xie, Teng Li, Rodrigo Fonseca, Yuandong Tian","Academia,Industry","United States of America,United States of America",SOTA improvement
